GroupName, GroupOrder, E(G)value, E(G)value_decimal
S272,544,15742/181,86.972375690607734
S273,546,47802/545,87.710091743119264
S274,548,56446/547,103.19195612431444
S275,550,19460/183,106.33879781420765
S276,552,39590/551,71.851179673321241
S277,554,77006/553,139.25135623869801
S278,556,19368/185,104.69189189189188
S279,558,57348/557,102.95870736086177
S280,560,916/13,70.461538461538467
S281,562,26414/187,141.25133689839572
S282,564,45986/563,81.680284191829486
S283,566,80372/565,142.25132743362832
S284,568,18416/189,97.439153439153444
S285,570,50990/569,89.613356766256587
S286,572,52852/571,92.560420315236428
S287,574,23712/191,124.14659685863874
S288,576,42238/575,73.457391304347823
S289,578,79458/577,137.70883882149047
S290,580,17266/193,89.461139896373055
S291,582,9396/83,113.20481927710843
S292,584,5310/53,100.18867924528301
S293,586,28714/195,147.25128205128206
S294,588,44708/587,76.163543441226579
S295,590,72472/589,123.04244482173175
S296,592,57910/591,97.986463620981382
S297,594,61310/593,103.38954468802699
S298,596,66754/595,112.19159663865547
S299,598,26732/199,134.33165829145727
S300,600,40716/599,67.973288814691145
S301,602,78302/601,130.28618968386024
S302,604,22852/201,113.69154228855722
S303,606,71312/605,117.87107438016528
S304,608,59260/607,97.627677100494239
S305,610,3690/29,127.24137931034483
S306,612,3890/47,82.765957446808514
S307,614,94556/613,154.25122349102773
S308,616,17706/205,86.370731707317077
S309,618,74166/617,120.20421393841167
S310,620,59272/619,95.754442649434566
S311,622,32344/207,156.2512077294686
S312,624,6840/89,76.853932584269657
S313,626,98282/625,157.25120000000001
S314,628,24702/209,118.19138755980862
S315,630,55712/629,88.572337042925284
S316,632,68424/631,108.43740095087163
S317,634,33602/211,159.25118483412322
S318,636,58532/635,92.1763779527559
S319,638,90880/637,142.66875981161695
S320,640,19330/213,90.751173708920192
S321,642,80042/641,124.87051482059282
S322,644,66046/643,102.7153965785381
S323,646,31428/215,146.17674418604651
S324,648,54778/647,84.664605873261209
S325,650,82446/649,127.03543913713405
S326,652,26624/217,122.69124423963133
S327,654,83064/653,127.20367534456355
S328,656,71218/655,108.72977099236641
S329,658,31222/219,142.5662100456621
S330,660,49610/659,75.280728376327772
S331,662,109892/661,166.25113464447807
S332,664,25180/221,113.9366515837104
S333,666,81978/665,123.27518796992481
S334,668,83836/667,125.6911544227886
S335,670,31184/223,139.83856502242153
S336,672,52142/671,77.707898658718335
S337,674,113906/673,169.25111441307578
S338,676,26746/225,118.87111111111111
S339,678,89276/677,131.87001477104874
S340,680,9106/97,93.876288659793815
S341,682,34674/227,152.74889867841409
S342,684,63452/683,92.901903367496345
S343,686,103628/685,151.28175182481752
S344,688,78388/687,114.1018922852984
S345,690,5786/53,109.16981132075472
S346,692,89962/691,130.19102749638205
S347,694,40252/231,174.25108225108224
S348,696,63296/695,91.073381294964022
S349,698,122150/697,175.25107604017217
S350,700,22636/233,97.150214592274679
S351,702,86580/701,123.509272467903
S352,704,2068/19,108.84210526315789
S353,706,41654/235,177.25106382978723
S354,708,10370/101,102.67326732673267
S355,710,105100/709,148.23695345557124
S356,712,28958/237,122.18565400843882
S357,714,82886/713,116.24964936886396
S358,716,7408/55,134.69090909090909
S359,718,43080/239,180.25104602510461
S360,720,55802/719,77.6105702364395
S361,722,124526/721,172.71289875173369
S362,724,32822/241,136.1908713692946
S363,726,94672/725,130.58206896551724
S364,728,74988/727,103.14718019257221
S365,730,37042/243,152.43621399176953
S366,732,77612/731,106.17236662106703
S367,734,135056/733,184.25102319236015
S368,736,29144/245,118.95510204081633
S369,738,100838/737,136.82225237449117
S370,740,84718/739,114.63870094722598
S371,742,39764/247,160.98785425101215
S372,744,72430/743,97.48317631224765
S373,746,139502/745,187.25100671140939
S374,748,10184/83,122.6987951807229
S375,750,13128/107,122.69158878504673
S376,752,93760/751,124.84687083888149
S377,754,42798/251,170.50996015936255
S378,756,71318/755,94.460927152317879
S379,758,144020/757,190.25099075297226
S380,760,2424/23,105.39130434782609
S381,762,112782/761,148.20236530880422
S382,764,109636/763,143.69069462647445
S383,766,49024/255,192.25098039215686
S384,768,77228/767,100.6883963494133
S385,770,101002/769,131.34200260078023
S386,772,37314/257,145.19066147859922
S387,774,111000/773,143.59637774902976
S388,776,103218/775,133.18451612903226
S389,778,50570/259,195.25096525096524
S390,780,70016/779,89.8793324775353
S391,782,139192/781,178.22279129321382
S392,784,91126/783,116.38058748403576
S393,786,120002/785,152.8687898089172
S394,788,116626/787,148.19059720457435
S395,790,43404/263,165.03422053231938
S396,792,75272/791,95.160556257901391
S397,794,158006/793,199.25094577553594
S398,796,39668/265,149.69056603773586
S399,798,104040/797,130.53952321204517
S400,800,89890/799,112.50312891113893
