GroupName, GroupOrder, AvgElementOrder, isElemAbel2
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
C2 x (((C4 x C2) : C2) : C4), 128, 447/128, true
((C4 x C4) : C2) : C4, 128, 479/128, true
C4 x ((C2 x C2 x C2) : C4), 128, 463/128, true
C4 x ((C4 x C4) : C2), 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
C4 x ((C8 x C2) : C2), 128, 591/128, true
((C4 : C4) : C4) : C2, 128, 591/128, true
((C2 x ((C4 x C2) : C2)) : C2) : C2, 128, 415/128, true
((C4 x C2 x C2) : C4) : C2, 128, 447/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 543/128, true
(C2 x (Q8 : C4)) : C2, 128, 607/128, true
((C2 x (C4 : C4)) : C2) : C2, 128, 575/128, true
((C2 x (C8 : C2)) : C2) : C2, 128, 575/128, true
((C4 x C2 x C2 x C2) : C2) : C2, 128, 431/128, true
((C4 x C4 x C2) : C2) : C2, 128, 559/128, true
((C2 x Q8) : C4) : C2, 128, 591/128, true
((C8 x C2 x C2) : C2) : C2, 128, 575/128, true
(((C4 x C4) : C2) : C2) : C2, 128, 559/128, true
(((C4 x C4) : C2) : C2) : C2, 128, 591/128, true
((C4 x C2 x C2) : C4) : C2, 128, 463/128, true
((C4 : C4) : C4) : C2, 128, 591/128, true
((C4 : C4) : C4) : C2, 128, 591/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C8 x C2) : C4) : C2, 128, 607/128, true
((C8 x C2) : C4) : C2, 128, 607/128, true
((C8 x C2) : C4) : C2, 128, 607/128, true
((C8 x C2) : C4) : C2, 128, 607/128, true
((C4 x C2 x C2) : C4) : C2, 128, 447/128, true
(C4 x C4 x C2) : C4, 128, 479/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 : C4) : C4) : C2, 128, 607/128, true
((C4 x C4) : C4) : C2, 128, 607/128, true
(((C4 x C2) : C2) : C4) : C2, 128, 463/128, true
(C2 x (C8 : C4)) : C2, 128, 607/128, true
